Sequence Name	mcg	gvh	alm	mit	erl	pox	vac	nuc	class
CBPS_YEAST	0.7	0.65	0.54	0.28	0.5	0	0.6	0.4	VAC
CB33_YEAST	0.41	0.45	0.53	0.17	0.5	0	0.51	0.25	NUC
CYC2_YEAST	0.4	0.56	0.48	0.14	0.5	0	0.47	0.22	MIT
MASZ_YEAST	0.44	0.53	0.52	0.23	0.5	0.83	0.51	0.22	POX
DED1_YEAST	0.36	0.24	0.49	0.16	0.5	0	0.51	0.22	NUC
SYDC_YEAST	0.46	0.35	0.53	0.16	0.5	0	0.51	0.29	CYT
ATN2_YEAST	0.36	0.49	0.3	0.22	0.5	0	0.52	0.31	ME3
CP51_YEAST	0.57	0.59	0.44	0.16	0.5	0	0.52	0.22	ME2
FDFT_YEAST	0.53	0.68	0.42	0.19	0.5	0	0.53	0.22	ME3
COAC_YEAST	0.25	0.4	0.51	0.18	0.5	0	0.5	0.27	CYT
THIK_YEAST	0.46	0.48	0.44	0.21	0.5	0	0.55	0.22	POX
FU34_YEAST	0.37	0.34	0.32	0.22	0.5	0	0.56	0.22	ME3
GAL2_YEAST	0.44	0.51	0.37	0.15	0.5	0	0.51	0.22	ME3
E2BD_YEAST	0.42	0.39	0.47	0.13	0.5	0	0.5	0.27	CYT
GCR3_YEAST	0.17	0.38	0.45	0.09	0.5	0	0.54	0.27	NUC
PP12_YEAST	0.49	0.47	0.52	0.16	0.5	0	0.53	0.28	CYT
GPDA_YEAST	0.44	0.51	0.48	0.38	0.5	0	0.52	0.22	CYT
GPDM_YEAST	0.69	0.5	0.49	0.42	0.5	0	0.49	0.22	MIT
DCUP_YEAST	0.48	0.34	0.47	0.14	0.5	0	0.47	0.26	CYT
HIP1_YEAST	0.48	0.46	0.38	0.29	0.5	0	0.53	0.22	ME3
HO_YEAST	0.53	0.53	0.53	0.17	0.5	0	0.49	0.37	NUC
HS26_YEAST	0.44	0.41	0.58	0.2	0.5	0	0.57	0.25	CYT
HXKA_YEAST	0.41	0.3	0.49	0.28	0.5	0	0.54	0.22	CYT
ACEA_YEAST	0.52	0.5	0.53	0.1	0.5	0	0.48	0.22	POX
IME1_YEAST	0.54	0.45	0.62	0.13	0.5	0	0.52	0.26	NUC
IRE1_YEAST	0.89	0.81	0.36	0.71	0.5	0	0.55	0.63	ME1
YJ36_YEAST	0.32	0.36	0.34	0.19	0.5	0	0.55	0.26	ME3
KEM1_YEAST	0.59	0.53	0.47	0.26	0.5	0	0.53	0.31	NUC
KIP1_YEAST	0.43	0.52	0.53	0.52	1	0	0.49	0.22	CYT
KSS1_YEAST	0.52	0.48	0.54	0.28	0.5	0	0.54	0.22	NUC
ODP2_YEAST	0.48	0.57	0.52	0.61	0.5	0	0.51	0.22	MIT
DLDH_YEAST	0.48	0.48	0.5	0.47	0.5	0	0.55	0.22	MIT
MAK3_YEAST	0.5	0.34	0.62	0.19	0.5	0	0.57	0.22	CYT
MAS6_YEAST	0.41	0.41	0.51	0.19	0.5	0	0.57	0.22	MIT
MDL1_YEAST	0.51	0.47	0.41	0.44	0.5	0	0.5	0.22	ME3
MER1_YEAST	0.55	0.49	0.45	0.18	0.5	0	0.49	0.22	NUC
MFA4_YEAST	0.79	0.74	0.49	0.33	0.5	0	0.48	0.22	EXC
MLH1_YEAST	0.66	0.54	0.49	0.16	0.5	0	0.54	0.36	NUC
MR11_YEAST	0.39	0.3	0.56	0.12	0.5	0	0.53	0.38	NUC
RT08_YEAST	0.45	0.38	0.64	0.14	0.5	0	0.54	0.22	MIT
RM37_YEAST	0.56	0.5	0.61	0.49	0.5	0	0.46	0.28	MIT
MRS1_YEAST	0.61	0.46	0.51	0.37	0.5	0	0.51	0.22	MIT
MSH4_YEAST	0.49	0.46	0.42	0.46	0.5	0	0.55	0.22	NUC
MS18_YEAST	0.63	0.47	0.56	0.12	0.5	0	0.5	0.22	MIT
MYS4_YEAST	0.43	0.4	0.5	0.18	0.5	0	0.5	0.28	CYT
SYLM_YEAST	0.6	0.51	0.52	0.45	0.5	0	0.5	0.27	MIT
NFS1_YEAST	0.48	0.54	0.53	0.6	0.5	0	0.53	0.31	NUC
FBRL_YEAST	0.35	0.44	0.54	0.26	0.5	0	0.52	0.26	NUC
NUF1_YEAST	0.51	0.34	0.49	0.16	0.5	0	0.53	0.21	NUC
ATP9_YEAST	0.78	0.65	0.4	0.16	0.5	0	0.63	0.22	MIT
YDA2_YEAST	0.49	0.27	0.57	0.18	0.5	0.83	0.54	0.22	POX
ATC2_YEAST	0.53	0.51	0.36	0.13	0.5	0	0.52	0.22	ME3
PDR1_YEAST	0.33	0.38	0.45	0.19	0.5	0	0.54	0.37	NUC
PEP8_YEAST	0.4	0.36	0.55	0.15	0.5	0	0.53	0.22	VAC
PT94_YEAST	0.59	0.58	0.47	0.61	0.5	0	0.44	0.3	MIT
PGM2_YEAST	0.28	0.36	0.55	0.15	0.5	0	0.57	0.22	CYT
PH84_YEAST	0.38	0.45	0.37	0.19	0.5	0	0.52	0.3	ME3
PIS_YEAST	0.47	0.61	0.5	0.23	0.5	0	0.49	0.22	ME3
PMS1_YEAST	0.38	0.48	0.51	0.13	0.5	0	0.5	0.32	NUC
P152_YEAST	0.41	0.53	0.41	0.15	0.5	0	0.54	0.25	NUC
PRTD_YEAST	0.63	0.55	0.53	0.51	0.5	0	0.55	0.22	VAC
PROC_YEAST	0.77	0.57	0.45	0.17	0.5	0	0.53	0.22	CYT
PR04_YEAST	0.34	0.35	0.58	0.2	0.5	0	0.46	0.32	NUC
DPSD_YEAST	0.51	0.46	0.4	0.65	0.5	0	0.49	0.22	MIT
PUT2_YEAST	0.45	0.53	0.51	0.42	0.5	0	0.52	0.22	MIT
UCR8_YEAST	0.38	0.31	0.59	0.19	0.5	0	0.46	0.22	MIT
RAD3_YEAST	0.52	0.5	0.51	0.2	0.5	0	0.51	0.22	NUC
RAD7_YEAST	0.49	0.49	0.51	0.29	0.5	0	0.52	0.71	NUC
REB1_YEAST	0.58	0.31	0.6	0.12	0.5	0	0.47	0.33	NUC
RFC2_YEAST	0.47	0.47	0.54	0.19	0.5	0	0.51	0.33	NUC
UCRI_YEAST	0.47	0.53	0.48	0.51	0.5	0	0.54	0.22	MIT
R13A_YEAST	0.54	0.55	0.56	0.14	0.5	0	0.5	0.25	CYT
RPA1_YEAST	0.56	0.49	0.54	0.15	0.5	0	0.5	0.35	NUC
RPB8_YEAST	0.44	0.5	0.55	0.24	0.5	0	0.48	0.22	NUC
RPD3_YEAST	0.37	0.3	0.51	0.15	0.5	0	0.58	0.26	NUC
RL1A_YEAST	0.61	0.48	0.56	0.19	0.5	0	0.53	0.31	CYT
RL3A_YEAST	0.43	0.33	0.67	0.12	0.5	0	0.45	0.23	CYT
RL41_YEAST	0.35	0.21	1	0.8	0.5	0	0.13	0.01	CYT
RLA4_YEAST	0.78	0.82	0.56	0.21	0.5	0	0.69	0.22	CYT
RS15_YEAST	0.48	0.41	0.52	0.33	0.5	0	0.51	0.26	CYT
RS3_YEAST	0.51	0.52	0.58	0.17	0.5	0	0.47	0.28	CYT
RTG1_YEAST	0.41	0.46	0.58	0.08	0.5	0	0.51	0.28	NUC
PRCI_YEAST	0.56	0.42	0.52	0.14	0.5	0	0.51	0.22	CYT
SC11_YEAST	0.85	0.66	0.49	0.18	0.5	0	0.51	0.22	ME1
SC22_YEAST	0.56	0.49	0.32	0.22	0.5	0	0.5	0.22	ME2
SC66_YEAST	0.39	0.71	0.38	0.14	0.5	0	0.5	0.22	ME2
SEN2_YEAST	0.48	0.5	0.47	0.29	0.5	0	0.46	0.27	NUC
SIC1_YEAST	0.42	0.43	0.67	0.7	0.5	0	0.42	0.25	CYT
SIS2_YEAST	0.37	0.47	0.49	0.12	0.5	0	0.47	0.31	NUC
SLY1_YEAST	0.64	0.31	0.53	0.15	0.5	0	0.53	0.31	CYT
SNC2_YEAST	0.25	0.35	0.22	0.18	0.5	0	0.46	0.22	ME3
SNQ2_YEAST	0.45	0.57	0.38	0.28	0.5	0	0.53	0.31	ME3
SPK1_YEAST	0.44	0.43	0.46	0.28	0.5	0	0.45	0.29	NUC
SP21_YEAST	0.44	0.59	0.54	0.18	0.5	0	0.49	0.22	NUC
SRB5_YEAST	0.6	0.62	0.54	0.11	0.5	0	0.51	0.22	NUC
SR72_YEAST	0.56	0.52	0.46	0.17	0.5	0	0.49	0.73	CYT
SSD1_YEAST	0.45	0.45	0.51	0.3	0.5	0	0.48	0.44	CYT
DAP1_YEAST	0.32	0.36	0.28	0.38	0.5	0	0.5	0.4	ME3
STF2_YEAST	0.28	0.18	0.72	0.26	0.5	0	0.49	0.25	MIT
SUG1_YEAST	0.58	0.37	0.58	0.16	0.5	0	0.51	0.22	NUC
ADR6_YEAST	0.48	0.17	0.37	0.33	0.5	0	0.44	0.36	NUC
RL3_YEAST	0.48	0.44	0.46	0.37	0.5	0	0.46	0.36	CYT
TF3B_YEAST	0.49	0.51	0.52	0.13	0.5	0	0.51	0.33	NUC
TF3A_YEAST	0.41	0.59	0.65	0.14	0.5	0	0.49	0.33	NUC
IF41_YEAST	0.32	0.32	0.52	0.18	0.5	0	0.48	0.34	CYT
TKT2_YEAST	0.55	0.69	0.51	0.12	0.5	0	0.51	0.22	CYT
KAPB_YEAST	0.49	0.46	0.54	0.18	0.5	0	0.35	0.22	CYT
TRM1_YEAST	0.53	0.45	0.52	0.29	0.5	0	0.55	0.38	MIT
GLRX_YEAST	0.52	0.5	0.6	0.2	0.5	0	0.52	0.22	CYT
UBC4_YEAST	0.47	0.46	0.49	0.27	0.5	0	0.59	0.22	CYT
UGA4_YEAST	0.42	0.51	0.33	0.16	0.5	0	0.54	0.22	ME3
YEU2_YEAST	0.55	0.49	0.6	0.18	0.5	0	0.51	0.22	NUC
VATX_YEAST	0.48	0.58	0.58	0.12	0.5	0	0.49	0.22	VAC
SLP1_YEAST	0.56	0.68	0.42	0.36	0.5	0	0.49	0.22	CYT
YAC2_YEAST	0.49	0.53	0.36	0.15	0.5	0	0.52	0.27	ME3
AP54_YEAST	0.33	0.49	0.46	0.22	0.5	0	0.53	0.33	ME3
YBT6_YEAST	0.54	0.44	0.38	0.22	0.5	0	0.54	0.3	ME3
YB91_YEAST	0.43	0.6	0.4	0.12	0.5	0	0.49	0.29	ME3
YCH0_YEAST	0.55	0.35	0.36	0.29	0.5	0	0.51	0.22	ME3
YCX9_YEAST	0.71	0.64	0.42	0.28	0.5	0	0.43	0.22	EXC
YGP1_YEAST	0.8	0.79	0.43	0.25	0.5	0	0.52	0.22	EXC
YHI7_YEAST	0.29	0.26	0.43	0.17	0.5	0	0.55	0.3	ME3
YHU2_YEAST	0.6	0.68	0.3	0.27	0.5	0	0.55	0.22	ME3
YIR3_YEAST	0.85	0.85	0.3	0.31	0.5	0	0.55	0.42	ME1
YKN4_YEAST	0.46	0.62	0.46	0.54	0.5	0	0.51	0.27	MIT
YME1_YEAST	0.63	0.57	0.5	0.48	0.5	0	0.51	0.22	MIT
ZIP1_YEAST	0.47	0.43	0.61	0.4	0.5	0	0.48	0.47	NUC
ADT3_YEAST	0.64	0.62	0.49	0.15	0.5	0	0.53	0.22	MIT
ACH1_YEAST	0.4	0.42	0.57	0.35	0.5	0	0.53	0.25	CYT
PUR3_YEAST	0.73	0.63	0.42	0.3	0.5	0	0.49	0.22	CYT
AFR1_YEAST	0.38	0.61	0.61	0.12	0.5	0	0.53	0.47	CYT
GPT_YEAST	0.79	0.57	0.41	0.28	0.5	0	0.59	0.22	ME2
APN1_YEAST	0.45	0.46	0.55	0.43	0.5	0	0.55	0.38	NUC
ARG2_YEAST	0.48	0.43	0.51	0.32	0.5	0	0.52	0.43	NUC
ATM1_YEAST	0.6	0.5	0.44	0.61	0.5	0	0.47	0.22	MIT
ATPO_YEAST	0.51	0.54	0.6	0.57	0.5	0	0.58	0.22	MIT
KAPR_YEAST	0.4	0.45	0.56	0.2	0.5	0	0.45	0.22	CYT
BUD5_YEAST	0.47	0.52	0.5	0.4	0.5	0	0.41	0.22	CYT
CBF1_YEAST	0.3	0.32	0.57	0.19	0.5	0	0.48	0.55	NUC
CBS2_YEAST	0.67	0.62	0.54	0.43	0.5	0	0.53	0.22	MIT
CC12_YEAST	0.6	0.5	0.57	0.25	0.5	0	0.41	0.26	CYT
NOT2_YEAST	0.64	0.6	0.57	0.19	0.5	0	0.43	0.22	NUC
CC6_YEAST	0.41	0.39	0.44	0.34	0.5	0	0.48	0.4	NUC
CLH_YEAST	0.54	0.49	0.49	0.2	0.5	0	0.52	0.22	CYT
CIN4_YEAST	0.66	0.45	0.5	0.23	0.5	0	0.49	0.22	CYT
CG12_YEAST	0.54	0.38	0.52	0.18	0.5	0	0.48	0.22	CYT
COFI_YEAST	0.44	0.42	0.6	0.21	0.5	0	0.57	0.22	CYT
COXE_YEAST	0.49	0.46	0.45	0.45	0.5	0	0.52	0.22	MIT
COX9_YEAST	0.67	0.68	0.46	0.29	0.5	0	0.46	0.22	MIT
CRM1_YEAST	0.56	0.52	0.48	0.17	0.5	0	0.46	0.22	NUC
CTR1_YEAST	0.36	0.37	0.33	0.14	0.5	0	0.57	0.31	ME3
CYC7_YEAST	0.42	0.57	0.72	0.22	0.5	0	0.57	0.22	MIT
DA81_YEAST	0.39	0.28	0.46	0.12	0.5	0	0.41	0.22	NUC
DYR_YEAST	0.8	0.46	0.5	0.15	0.5	0	0.53	0.22	CYT
ATC4_YEAST	0.51	0.55	0.35	0.16	0.5	0	0.51	0.47	ME3
END3_YEAST	0.55	0.46	0.53	0.11	0.5	0	0.52	0.48	CYT
ERG2_YEAST	0.92	0.61	0.4	0.22	0.5	0	0.54	0.22	ME2
ESP1_YEAST	0.55	0.46	0.46	0.31	0.5	0	0.58	0.48	NUC
F16P_YEAST	0.58	0.6	0.51	0.24	0.5	0	0.53	0.22	CYT
FKB2_YEAST	0.74	0.72	0.47	0.25	0.5	0	0.57	0.22	ME1
FUR4_YEAST	0.35	0.56	0.36	0.3	0.5	0	0.53	0.25	ME3
GAL7_YEAST	0.5	0.5	0.48	0.17	0.5	0	0.47	0.26	CYT
E2BB_YEAST	0.59	0.65	0.52	0.3	0.5	0	0.46	0.31	CYT
GCY_YEAST	0.6	0.4	0.59	0.18	0.5	0	0.48	0.22	CYT
GLNA_YEAST	0.44	0.34	0.55	0.18	0.5	0	0.52	0.22	CYT
PMGY_YEAST	0.55	0.41	0.56	0.21	0.5	0	0.52	0.22	CYT
CYP1_YEAST	0.6	0.48	0.44	0.52	0.5	0	0.54	0.63	NUC
HEMZ_YEAST	0.47	0.45	0.53	0.62	0.5	0	0.46	0.22	MIT
HIR2_YEAST	0.61	0.57	0.45	0.21	0.5	0	0.5	0.42	NUC
HPR1_YEAST	0.5	0.45	0.49	0.15	0.5	0	0.55	0.43	NUC
HS60_YEAST	0.45	0.56	0.51	0.64	0.5	0	0.54	0.22	MIT
HXT1_YEAST	0.3	0.5	0.34	0.26	0.5	0	0.51	0.22	ME3
IDH2_YEAST	0.45	0.54	0.54	0.62	0.5	0	0.53	0.22	MIT
IMP2_YEAST	0.35	0.49	0.47	0.22	0.5	0	0.5	0.28	MIT
ISP6_YEAST	0.59	0.57	0.46	0.14	0.5	0	0.52	0.22	MIT
YJ49_YEAST	0.7	0.73	0.37	0.37	0.5	0	0.48	0.31	ME1
KEX2_YEAST	0.7	0.73	0.38	0.36	0.5	0	0.54	0.22	ME1
SMI1_YEAST	0.43	0.32	0.56	0.27	0.5	0	0.47	0.27	NUC
KTR2_YEAST	0.76	0.74	0.56	0.34	0.5	0	0.51	0.3	ME2
LCB2_YEAST	0.36	0.34	0.46	0.19	0.5	0	0.52	0.22	ME2
LYS1_YEAST	0.5	0.45	0.48	0.17	0.5	0	0.5	0.26	CYT
MA3S_YEAST	0.39	0.37	0.56	0.15	0.5	0	0.5	0.27	CYT
MBP1_YEAST	0.5	0.49	0.52	0.2	0.5	0	0.43	0.52	NUC
MDM1_YEAST	0.49	0.44	0.45	0.22	0.5	0	0.51	0.22	CYT
SYMC_YEAST	0.57	0.44	0.42	0.2	0.5	0	0.54	0.22	CYT
MGM1_YEAST	0.66	0.52	0.52	0.44	0.5	0	0.56	0.27	MIT
MASY_YEAST	0.42	0.5	0.53	0.22	0.5	0.83	0.5	0.22	POX
RT01_YEAST	0.36	0.4	0.53	0.48	0.5	0	0.48	0.22	MIT
RM16_YEAST	0.53	0.42	0.58	0.29	0.5	0	0.5	0.22	MIT
RM04_YEAST	0.36	0.38	0.56	0.44	0.5	0	0.48	0.22	MIT
MRS3_YEAST	0.54	0.64	0.5	0.13	0.5	0	0.49	0.22	MIT
SYMM_YEAST	0.51	0.48	0.51	0.43	0.5	0	0.49	0.22	MIT
SYTM_YEAST	0.41	0.47	0.58	0.62	0.5	0	0.5	0.22	MIT
YN46_YEAST	0.58	0.56	0.52	0.25	0.5	0	0.57	0.35	NUC
NAM9_YEAST	0.37	0.51	0.57	0.4	0.5	0	0.48	0.27	MIT
NHP2_YEAST	0.36	0.44	0.51	0.17	0.5	0	0.6	0.19	NUC
NOP4_YEAST	0.33	0.48	0.55	0.16	0.5	0	0.53	0.75	NUC
NUP1_YEAST	0.45	0.41	0.58	0.48	0.5	0	0.53	0.64	NUC
OM45_YEAST	0.75	0.66	0.64	0.39	0.5	0	0.46	0.32	MIT
PAN1_YEAST	0.69	0.39	0.52	0.12	0.5	0	0.38	0.35	CYT
ODPB_YEAST	0.49	0.52	0.53	0.7	0.5	0	0.51	0.22	MIT
PDR5_YEAST	0.41	0.48	0.38	0.13	0.5	0	0.51	0.35	ME3
PT11_YEAST	0.5	0.32	0.49	0.49	0.5	0	0.48	0.32	MIT
K6P1_YEAST	0.57	0.49	0.5	0.2	0.5	0	0.51	0.28	CYT
PPAB_YEAST	0.74	0.72	0.5	0.28	0.5	0	0.5	0.27	EXC
YCS7_YEAST	0.31	0.3	0.34	0.19	0.5	0	0.55	0.3	ME3
ATH1_YEAST	0.49	0.6	0.3	0.34	0.5	0	0.5	0.43	ME3
PMT2_YEAST	0.27	0.49	0.36	0.26	0.5	0	0.49	0.26	ME3
CAO_YEAST	0.46	0.37	0.48	0.36	0.5	0	0.48	0.22	POX
PRCE_YEAST	0.46	0.62	0.54	0.25	0.5	0	0.46	0.22	CYT
PR18_YEAST	0.33	0.39	0.52	0.09	0.5	0	0.47	0.28	NUC
PR06_YEAST	0.49	0.45	0.57	0.24	0.5	0	0.47	0.38	NUC
PTM1_YEAST	0.81	0.55	0.35	0.34	0.5	0	0.51	0.22	ME2
PUT4_YEAST	0.58	0.53	0.33	0.26	0.5	0	0.51	0.22	ME3
RAD1_YEAST	0.24	0.41	0.47	0.16	0.5	0	0.51	0.38	NUC
RAD5_YEAST	0.36	0.48	0.5	0.13	0.5	0	0.49	0.6	NUC
SRS2_YEAST	0.51	0.61	0.5	0.23	0.5	0	0.52	0.61	NUC
R104_YEAST	0.44	0.33	0.55	0.16	0.5	0	0.49	0.22	NUC
RFC4_YEAST	0.55	0.45	0.58	0.25	0.5	0	0.49	0.22	NUC
RNA1_YEAST	0.45	0.52	0.5	0.12	0.5	0	0.6	0.22	CYT
RL18_YEAST	0.45	0.5	0.57	0.29	0.5	0	0.44	0.11	CYT
RPBX_YEAST	0.57	0.49	0.61	0.26	0.5	0	0.52	0.22	NUC
RPCX_YEAST	0.5	0.56	0.63	0.25	0.5	0	0.42	0.22	NUC
RL15_YEAST	0.46	0.35	0.69	0.18	0.5	0	0.3	0.25	CYT
R16B_YEAST	0.36	0.56	0.52	0.18	0.5	0	0.45	0.16	CYT
RL3E_YEAST	0.58	0.44	0.5	0.26	0.5	0	0.52	0.22	CYT
RL4B_YEAST	0.56	0.35	0.47	0.35	0.5	0	0.52	0.22	CYT
RPB1_YEAST	0.44	0.62	0.53	0.27	0.5	0	0.49	0.22	NUC
RS22_YEAST	0.46	0.39	0.54	0.22	0.5	0	0.48	0.25	CYT
RS33_YEAST	0.5	0.5	0.62	0.23	0.5	0	0.35	0.11	CYT
R167_YEAST	0.37	0.37	0.51	0.38	0.5	0	0.44	0.22	CYT
SCO1_YEAST	0.52	0.54	0.47	0.49	0.5	0	0.54	0.22	MIT
SC13_YEAST	0.49	0.38	0.56	0.09	0.5	0	0.46	0.22	CYT
SEC4_YEAST	0.44	0.51	0.53	0.3	0.5	0	0.53	0.22	CYT
SC72_YEAST	0.59	0.55	0.57	0.18	0.5	0	0.51	0.22	CYT
SFL1_YEAST	0.49	0.49	0.52	0.18	0.5	0	0.51	0.25	NUC
SIN3_YEAST	0.4	0.49	0.53	0.23	0.5	0	0.44	0.26	NUC
SKN1_YEAST	0.38	0.42	0.31	0.35	0.5	0	0.52	0.22	ME3
SMC1_YEAST	0.47	0.56	0.51	0.2	0.5	0	0.52	0.59	NUC
SNF2_YEAST	0.33	0.47	0.55	0.24	0.5	0	0.45	0.67	NUC
SODM_YEAST	0.54	0.47	0.58	0.4	0.5	0	0.46	0.27	MIT
SPR1_YEAST	0.66	0.65	0.54	0.4	0.5	0	0.51	0.22	EXC
SPT3_YEAST	0.59	0.49	0.45	0.22	0.5	0	0.45	0.31	NUC
SCA1_YEAST	0.47	0.32	0.51	0.24	0.5	0	0.54	0.27	NUC
HS71_YEAST	0.53	0.48	0.51	0.18	0.5	0	0.52	0.27	CYT
SSN6_YEAST	0.19	0.66	0.6	0.14	0.5	0	0.2	0.25	NUC
GBG_YEAST	0.36	0.37	0.63	0.25	0.5	0	0.3	0.22	CYT
STL1_YEAST	0.36	0.5	0.39	0.23	0.5	0	0.5	0.22	ME3
IF2A_YEAST	0.51	0.59	0.55	0.21	0.5	0	0.52	0.22	CYT
SWI4_YEAST	0.55	0.38	0.52	0.16	0.5	0	0.49	0.64	NUC
TCPE_YEAST	0.62	0.42	0.47	0.16	0.5	0	0.52	0.22	CYT
EF1A_YEAST	0.63	0.43	0.48	0.11	0.5	0	0.51	0.22	CYT
TFC4_YEAST	0.33	0.17	0.52	0.13	0.5	0	0.51	0.75	NUC
IF5_YEAST	0.41	0.46	0.57	0.25	0.5	0	0.57	0.38	CYT
TOA1_YEAST	0.57	0.29	0.63	0.22	0.5	0	0.49	0.27	NUC
TPM1_YEAST	0.42	0.45	0.75	0.21	0.5	0	0.48	0.22	CYT
TRPE_YEAST	0.33	0.46	0.53	0.12	0.5	0	0.5	0.27	CYT
TBB_YEAST	0.53	0.42	0.53	0.19	0.5	0	0.47	0.22	CYT
UBC6_YEAST	0.43	0.48	0.36	0.26	0.5	0	0.52	0.22	ME3
UME6_YEAST	0.6	0.57	0.63	0.22	0.5	0	0.5	0.49	NUC
RMAR_YEAST	0.66	0.37	0.6	0.25	0.5	0	0.69	0.22	MIT
VATD_YEAST	0.48	0.49	0.49	0.26	0.5	0	0.39	0.27	VAC
VP45_YEAST	0.46	0.52	0.51	0.13	0.5	0	0.47	0.22	CYT
YAF1_YEAST	0.45	0.51	0.43	0.22	0.5	0	0.57	0.22	NUC
CACM_YEAST	0.45	0.39	0.46	0.29	0.5	0	0.42	0.22	MIT
YB00_YEAST	0.25	0.41	0.47	0.14	0.5	0	0.56	0.68	NUC
YB8G_YEAST	0.65	0.62	0.26	0.33	0.5	0	0.55	0.22	ME3
YCQ7_YEAST	0.67	0.61	0.39	0.24	0.5	0	0.51	0.22	ME3
YCZ6_YEAST	0.58	0.44	0.45	0.32	0.5	0	0.52	0.37	NUC
YHA9_YEAST	0.47	0.4	0.63	0.19	0.5	0	0.52	0.32	NUC
YHK5_YEAST	0.92	0.66	0.52	0.23	0.5	0	0.53	0.22	ME1
YHY0_YEAST	0.82	0.63	0.47	0.18	0.5	0	0.5	0.22	POX
YKA5_YEAST	0.41	0.25	0.59	0.44	0.5	0	0.6	0.69	NUC
ACP_YEAST	0.52	0.53	0.58	0.69	0.5	0	0.5	0.22	MIT
YOX1_YEAST	0.59	0.67	0.54	0.19	0.5	0	0.48	0.6	NUC
ZUO1_YEAST	0.43	0.4	0.6	0.16	0.5	0	0.53	0.39	NUC
AAR2_YEAST	0.58	0.44	0.57	0.13	0.5	0	0.54	0.22	NUC
ACON_YEAST	0.6	0.4	0.52	0.46	0.5	0	0.53	0.22	MIT
ADH1_YEAST	0.43	0.53	0.52	0.13	0.5	0	0.55	0.22	CYT
RCS1_YEAST	0.33	0.55	0.51	0.43	0.5	0	0.51	0.22	NUC
ALG8_YEAST	0.41	0.54	0.39	0.2	0.5	0	0.51	0.22	ME3
ARD1_YEAST	0.56	0.48	0.58	0.27	0.5	0	0.51	0.22	CYT
ARG3_YEAST	0.41	0.46	0.59	0.19	0.5	0	0.58	0.27	NUC
ATPA_YEAST	0.45	0.55	0.54	0.66	0.5	0	0.47	0.22	MIT
ATP7_YEAST	0.54	0.52	0.63	0.37	0.5	0	0.46	0.22	MIT
BDF1_YEAST	0.33	0.43	0.64	0.16	0.5	0	0.52	0.52	NUC
CAD1_YEAST	0.48	0.23	0.57	0.27	0.5	0	0.48	0.47	NUC
CB32_YEAST	0.4	0.44	0.49	0.47	0.5	0	0.49	0.27	NUC
TNT_YEAST	0.59	0.6	0.49	0.43	0.5	0	0.53	0.31	MIT
CC16_YEAST	0.62	0.51	0.52	0.42	0.5	0	0.54	0.27	NUC
NOT1_YEAST	0.37	0.46	0.4	0.27	0.5	0	0.45	0.22	NUC
SYLC_YEAST	0.45	0.43	0.51	0.24	0.5	0	0.54	0.33	CYT
CHL1_YEAST	0.42	0.51	0.5	0.12	0.5	0	0.52	0.46	NUC
CIN8_YEAST	0.21	0.41	0.55	0.11	0.5	0	0.5	0.27	CYT
CG13_YEAST	0.43	0.57	0.53	0.53	0.5	0	0.53	0.25	CYT
COQ1_YEAST	0.52	0.51	0.51	0.54	0.5	0	0.55	0.27	MIT
